Saison;Nachname;Vorname;LfdNr;Gesamt;AnzSpiele;Tore;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34
2021/22;Böhmer;Freddy;4;1552;19;2;90;90;0;1;55;0;45;90;39;18;0;0;79;0;90;90;0;0;0;0;0;90;90;90;90;90;0;55;90;90;90;0;90;0
2021/22;Borgmann;Jonas;5;2103;23;0;90;74;90;90;36;90;90;90;90;90;90;0;90;90;90;12;90;90;90;0;69;4;0;76;90;0;0;0;0;32;90;90;90;90
2021/22;Büchter;Jakob;6;82;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;76
2021/22;Busmann;Lennart;7;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90
2021/22;Christen;Dennis;8;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2021/22;da Silva;Denis;9;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;0;19;0;0
2021/22;Finke;Ben;10;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
2021/22;Heinrich;Timo;11;197;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;60;45;45;0;0;0;0;0;0;0;0;21;15
2021/22;Hugo;Lennardt;12;1167;21;0;90;54;1;11;18;22;0;0;0;90;0;0;0;48;3;79;3;45;0;0;2;45;90;85;90;57;0;90;83;1;9;72;72;7
2021/22;Kamp;Robin;13;2290;25;5;0;0;90;90;90;90;90;90;90;90;65;90;12;90;90;90;90;90;90;0;90;0;90;90;45;82;90;0;15;32;90;65;90;84
2021/22;Kötter;Marco;14;1182;17;1;90;90;90;90;10;0;45;36;52;0;26;13;0;0;0;0;0;45;90;0;90;90;0;0;5;0;90;0;0;90;82;58;0;0
2021/22;Leifeld;Benny;15;802;11;4;89;11;0;0;88;75;0;0;0;31;0;0;88;90;90;62;88;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021/22;Leifeld;Marvin;16;612;7;2;88;74;90;90;90;90;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021/22;Mause;Max;17;2427;25;6;90;90;90;0;0;38;90;90;90;90;90;90;90;90;90;90;90;90;90;0;90;0;90;90;90;90;90;90;0;17;32;90;90;90
2021/22;Meyer;Jannis;18;2226;25;3;90;90;90;90;90;90;45;90;90;90;90;90;90;43;0;90;90;90;90;0;90;90;90;0;0;0;90;1;8;90;59;90;0;90
2021/22;Mönter;Simon;19;90;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0
2021/22;Mustafaj;Erduan;20;425;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;24;90;90;90;0;0;0;0;90
2021/22;Over;Janis;21;1620;15;0;0;0;90;90;90;0;0;0;0;90;90;90;90;90;90;90;90;90;90;0;90;0;0;90;0;0;0;0;0;0;90;90;90;0
2021/22;Pilz;Dustin;22;1908;22;0;3;37;69;80;90;53;0;79;72;85;90;90;90;90;42;77;0;0;90;0;90;87;0;90;0;0;0;90;90;74;70;90;90;0
2021/22;Pilz;Paul;23;677;17;0;2;0;0;1;3;16;0;55;0;0;90;50;66;0;1;0;0;45;1;0;89;0;0;15;76;34;0;1;0;59;9;0;19;45
2021/22;Pinto;Fabio;24;1259;18;4;0;0;0;0;0;0;0;12;11;6;87;64;25;80;1;29;90;0;86;0;90;45;0;45;90;0;0;90;76;90;82;90;70;0
2021/22;Pott;Maxi;25;136;7;0;0;0;55;23;0;0;0;0;23;0;8;15;3;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0
2021/22;Rehr;Hannes;26;1173;15;1;0;80;81;68;90;69;90;90;68;73;0;41;90;90;88;0;90;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021/22;Schomaker;Tim;27;94;7;1;1;0;0;0;0;11;0;0;0;60;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;9;0;6;0;0;0;2;0;0
2021/22;Sitnikow;Walter;28;1212;18;0;0;17;22;90;81;90;90;12;19;0;1;90;0;0;49;14;0;45;1;0;0;77;90;0;90;90;0;0;0;0;0;89;79;76
2021/22;Söndgen;Steffen;29;1170;12;0;90;0;0;0;0;90;90;90;90;0;0;0;0;0;0;0;0;0;0;0;0;90;90;0;90;90;0;90;90;90;0;0;0;90
2021/22;Tillack;Pascal;30;429;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;90;0;0;0;90;90;0;0;59;21;0;12;45
2021/22;Tillmann;Luca;31;2437;27;7;90;90;36;90;90;90;90;90;80;0;83;90;0;90;90;90;90;90;90;0;5;14;82;90;90;67;90;90;90;90;90;90;90;0
2021/22;Veltrup;Leon;32;2310;28;13;90;90;90;90;73;80;90;79;90;90;90;90;90;90;90;90;90;90;26;0;86;31;90;45;90;90;90;90;90;0;0;0;0;0
2021/22;Voss;Maik;33;90;1;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
